"","job","company","location","snippet","time","timestamp"
"1","Data Scientist / Commercieel Analist","Jumbo Supermarkten","Rijksweg 15, Veghel, 06 5462 CE, NL","Als Data Scientist / Commercieel Analist voer je kwantitatieve analyses uit ten behoeve van strategische vraagstukken en ad hoc vr...","1 week ago","Thu Jul 12 11:15:42 2018"
"2","CVA Data Scientist","Capgemini","Utrecht, NL","And retain customers by identifying churn drivers and building churn propensity models We define Cus...www.werkenbijcapgemini.nl","1 week ago","Thu Jul 12 11:15:42 2018"
"3","Data Scientist","PostNL","Prinses Beatrixlaan 23 , Den Haag, 11 2595AK, NL","Analytische methoden, schaalbare data science omgevingen als Hadoop, Spark, PySpark en NoSQL zijn jou bekend. Als Data Scientist r...","3 weeks ago","Thu Jul 12 11:15:42 2018"
"4","Data Scientist","ASML","Veldhoven, NL","You will determine the optimal modeling approach for each scenario, work with IT Data Engineers on t...www.asml.com","2 weeks ago","Thu Jul 12 11:15:42 2018"
"5","Data Scientist","ING","Amsterdamse Poort Bijlmerplein 888, Amsterdam, 07 1102 MG, NL","...ING is looking for a Data Scientist passionate about delivering data-products Think Forward! Our purpose i...","1 month ago","Thu Jul 12 11:15:42 2018"
"6","Data Scientist","Wolters Kluwer","Alphen aan den Rijn, South Holland Province, Netherlands","You will need to have very strong technical skills in data sciences and a proven ability to deliver products to the market. 2+ yea...","1 week ago","Thu Jul 12 11:15:42 2018"
"7","Data Scientist","ABN AMRO Bank N.V.","Amsterdam, NL","For our department CADM – Chief Architect & Data Management we’re looking for two ...www.abnamro.com","3 weeks ago","Thu Jul 12 11:15:42 2018"
"8","Data Scientist","Allego","arnhem","Now we are looking for an experienced data enthusiast that together with a team of analytical minded people is going to transform ...","5 days ago","Thu Jul 12 11:15:42 2018"
"9","Advanced Data Analyst / Data Scientist","Coolblue","Rotterdam, NL","Als een Advanced Data Analyst / Data Scientist gebruik je de data van miljoenen bezoekers zodat Cool...www.werkenbijcoolblue.nl","4 weeks ago","Thu Jul 12 11:15:42 2018"
"10","(Junior) data-scientist","The Dutch Inspectorate of Education","Utrecht, NL","Jij bent als (junior) data-scientist een van de drijvende krachten van de vernieuwing. Jij draagt bi...www.werkenvoornederland.nl","4 days ago","Thu Jul 12 11:15:42 2018"
"11","Internship Master Thesis Accenture Digital Talent Factory APPLIED INTELLIGENCE / Analytics Business, Artificial Intelligence","Accenture","Amsterdam, NL","You have demonstrable affinity and/or experience with trends and development in the fields of data s...www.accenture.com","2 months ago","Thu Jul 12 11:15:42 2018"
"12","Contract management & Claim Data Analyst","Sandoz","Almere Stad, NL","Bachelors in Industrial Engineering, Statistics, Econometrics, Data Scientist MSc/MBA in Finance , (...sjobs.brassring.com","2 months ago","Thu Jul 12 11:15:42 2018"
"13","Data Scientist","Converz Analytics","Nijmegen Area, Netherlands","You're an EU-resident and fluent in Dutch and / or English (no visa sponsorship). There’s enormous opportunity in this ...","3 weeks ago","Thu Jul 12 11:15:42 2018"
"14","Intern Data Analyst: IKEA Service Office (32-40 hours)","IKEA Group","Paasheuvelweg 5, Amsterdam, 07 1105, NL","After that, you start working on some data; you draw data flows, do analysis on data quality and try to find the root causes of da...","3 weeks ago","Thu Jul 12 11:15:42 2018"
"15","Data Scientist","Infosys","Amsterdam Area, Netherlands","We aspire to be the leading ‘end to end provider’ in Data Science and Analytics using a combination of skills, techn...","1 week ago","Thu Jul 12 11:15:42 2018"
"16","Data Scientist","Bose Corporation","Maastricht, NL","While you are part of Finance, you will also work closely with our newly formed central Data Analyti...boseallaboutme.wd1.myworkdayjobs.com","1 month ago","Thu Jul 12 11:15:42 2018"
"17","Lead Data Scientist  DA","Ortec Finance","Rotterdam Area, Netherlands","Data Analytics’ distinguishes from other organizations by not only offering consultancy and education, through our “...","4 weeks ago","Thu Jul 12 11:15:42 2018"
"18","Marketing Data Analyst","SchaalX","Amersfoort, Utrecht Province, Netherlands","De afdeling bestaat uit een marktonderzoeker, een data scientist, een online marketeer, een marketing data analist, een database m...","3 weeks ago","Thu Jul 12 11:15:42 2018"
"19","IT Traineeship Big Data","Working Talent","Utrecht, Utrecht, Nederland","Tijdens het traineeship komen onderwerpen als SQL, SelfServices, Data Wrangling, Data Analysis en Data Science aan bod. Wil jij we...","1 month ago","Thu Jul 12 11:15:42 2018"
"20","Data Scientist","IT-Staffing","’s-Hertogenbosch, North Brabant Province, Netherlands","Daarnaast is de data science expert in staat om richting te geven aan de concretisering van de visie op Data Science in de organis...","4 weeks ago","Thu Jul 12 11:15:42 2018"
"21","General Data Scientist","Sanoma Media Netherlands B.V.","Magistratenlaan, 5223 's-Hertogenbosch","You will collect and harmonize the requirements for learning analytics and business intelligence which are shared across the diffe...","3 weeks ago","Thu Jul 12 11:15:42 2018"
"22","Data Scientist","TMC","Eindhoven Area, Netherlands","...of the possible applications of your expertise and that you’re able to motivate this to others.  As a Data Scientist...","2 months ago","Thu Jul 12 11:15:42 2018"
"23","Data Scientist","Vitens","Zwolle, Overijssel, Nederland","Dit, in combinatie met analytisch vermogen, visie en inhoudelijk kennis op het gebied van data science, maakt dat je sterk bent in...","3 weeks ago","Thu Jul 12 11:15:42 2018"
"24","Lead Data Scientist","eBay","Amsterdam, NH","Now we are looking for an experienced Lead Data Scientist with proven track-records in translating data to business value to join ...","2 weeks ago","Thu Jul 12 11:15:42 2018"
"25","Data Scientist","Cognizant","Amsterdam, NL","Understand and execute wide range of client requirements in terms of data modeling, machine learning...careers.cognizant.com","7 days ago","Thu Jul 12 11:15:42 2018"
