"","job","company","location","snippet","time"
"1","Data Scientist / Commercieel Analist","Jumbo Supermarkten","Job LocationRijksweg 15, Veghel, 06 5462 CE, NL","Als Data Scientist / Commercieel Analist voer je kwantitatieve analyses uit ten behoeve van strategische vraagstukken en ad hoc vr...","1 week ago"
"2","CVA Data Scientist","Capgemini","Job LocationUtrecht, NL","And retain customers by identifying churn drivers and building churn propensity models We define Cus...www.werkenbijcapgemini.nl","1 week ago"
"3","Data Scientist","PostNL","Job LocationPrinses Beatrixlaan 23 , Den Haag, 11 2595AK, NL","Analytische methoden, schaalbare data science omgevingen als Hadoop, Spark, PySpark en NoSQL zijn jou bekend. Als Data Scientist r...","3 weeks ago"
"4","Data Scientist","ASML","Job LocationVeldhoven, NL","You will determine the optimal modeling approach for each scenario, work with IT Data Engineers on t...www.asml.com","2 weeks ago"
"5","Data Scientist","ING","Job LocationAmsterdamse Poort Bijlmerplein 888, Amsterdam, 07 1102 MG, NL","...ING is looking for a Data Scientist passionate about delivering data-products Think Forward! Our purpose i...","1 month ago"
"6","Data Scientist","Wolters Kluwer","Job LocationAlphen aan den Rijn, South Holland Province, Netherlands","You will need to have very strong technical skills in data sciences and a proven ability to deliver products to the market. 2+ yea...","1 week ago"
"7","Data Scientist","ABN AMRO Bank N.V.","Job LocationAmsterdam, NL","For our department CADM – Chief Architect & Data Management we’re looking for two ...www.abnamro.com","3 weeks ago"
"8","Data Scientist","Allego","Job Locationarnhem","Now we are looking for an experienced data enthusiast that together with a team of analytical minded people is going to transform ...","5 days ago"
"9","Advanced Data Analyst / Data Scientist","Coolblue","Job LocationRotterdam, NL","Als een Advanced Data Analyst / Data Scientist gebruik je de data van miljoenen bezoekers zodat Cool...www.werkenbijcoolblue.nl","4 weeks ago"
"10","(Junior) data-scientist","The Dutch Inspectorate of Education","Job LocationUtrecht, NL","Jij bent als (junior) data-scientist een van de drijvende krachten van de vernieuwing. Jij draagt bi...www.werkenvoornederland.nl","4 days ago"
"11","Internship Master Thesis Accenture Digital Talent Factory APPLIED INTELLIGENCE / Analytics Business, Artificial Intelligence","Accenture","Job LocationAmsterdam, NL","You have demonstrable affinity and/or experience with trends and development in the fields of data s...www.accenture.com","2 months ago"
"12","Contract management & Claim Data Analyst","Sandoz","Job LocationAlmere Stad, NL","Bachelors in Industrial Engineering, Statistics, Econometrics, Data Scientist MSc/MBA in Finance , (...sjobs.brassring.com","2 months ago"
"13","Data Scientist","Converz Analytics","Job LocationNijmegen Area, Netherlands","You're an EU-resident and fluent in Dutch and / or English (no visa sponsorship). There’s enormous opportunity in this ...","3 weeks ago"
"14","Intern Data Analyst: IKEA Service Office (32-40 hours)","IKEA Group","Job LocationPaasheuvelweg 5, Amsterdam, 07 1105, NL","After that, you start working on some data; you draw data flows, do analysis on data quality and try to find the root causes of da...","3 weeks ago"
"15","Data Scientist","Infosys","Job LocationAmsterdam Area, Netherlands","We aspire to be the leading ‘end to end provider’ in Data Science and Analytics using a combination of skills, techn...","1 week ago"
"16","Data Scientist","Bose Corporation","Job LocationMaastricht, NL","While you are part of Finance, you will also work closely with our newly formed central Data Analyti...boseallaboutme.wd1.myworkdayjobs.com","1 month ago"
"17","Lead Data Scientist  DA","Ortec Finance","Job LocationRotterdam Area, Netherlands","Data Analytics’ distinguishes from other organizations by not only offering consultancy and education, through our “...","4 weeks ago"
"18","Marketing Data Analyst","SchaalX","Job LocationAmersfoort, Utrecht Province, Netherlands","De afdeling bestaat uit een marktonderzoeker, een data scientist, een online marketeer, een marketing data analist, een database m...","3 weeks ago"
"19","IT Traineeship Big Data","Working Talent","Job LocationUtrecht, Utrecht, Nederland","Tijdens het traineeship komen onderwerpen als SQL, SelfServices, Data Wrangling, Data Analysis en Data Science aan bod. Wil jij we...","1 month ago"
"20","Data Scientist","IT-Staffing","Job Location’s-Hertogenbosch, North Brabant Province, Netherlands","Daarnaast is de data science expert in staat om richting te geven aan de concretisering van de visie op Data Science in de organis...","4 weeks ago"
"21","General Data Scientist","Sanoma Media Netherlands B.V.","Job LocationMagistratenlaan, 5223 's-Hertogenbosch","You will collect and harmonize the requirements for learning analytics and business intelligence which are shared across the diffe...","3 weeks ago"
"22","Data Scientist","TMC","Job LocationEindhoven Area, Netherlands","...of the possible applications of your expertise and that you’re able to motivate this to others.  As a Data Scientist...","2 months ago"
"23","Data Scientist","Vitens","Job LocationZwolle, Overijssel, Nederland","Dit, in combinatie met analytisch vermogen, visie en inhoudelijk kennis op het gebied van data science, maakt dat je sterk bent in...","3 weeks ago"
"24","Lead Data Scientist","eBay","Job LocationAmsterdam, NH","Now we are looking for an experienced Lead Data Scientist with proven track-records in translating data to business value to join ...","2 weeks ago"
"25","Data Scientist","Cognizant","Job LocationAmsterdam, NL","Understand and execute wide range of client requirements in terms of data modeling, machine learning...careers.cognizant.com","7 days ago"
